"FACILITYTY"	"FACILITYNA"	"ADDRESS"	"JURISDICTI"	"NUMBER"	"QUAD"	"STREET"	"CITY"	"STATE"	"COUNTRY"
"OPERATIONS"	"ALVARADO TRANSPORTATION CENTER"	"100 1ST ST SW"	"CITY"	100	"SW"	"1ST"	"Albuquerque"	"New Mexico"	"USA"
"LIBRARY"	"LOS GRIEGOS"	"1000 GRIEGOS RD NW"	"CITY"	1000	"NW"	"GRIEGOS"	"Albuquerque"	"New Mexico"	"USA"
"POLICE"	"COTTONWOOD MALL COMMUNITY SUBSTATION"	"10000 COORS BYP NW"	"CITY"	10000	"NW"	"COORS BLVD BYPASS"	"Albuquerque"	"New Mexico"	"USA"
"FIRE"	"FIRE STATION 27"	"10005 LYON BLVD NW"	"CITY"	10005	"NW"	"LYON"	"Albuquerque"	"New Mexico"	"USA"
"SOFTBALL"	"LOS ALTOS SOFTBALL"	"10100 LOMAS BLVD NE"	"CITY"	10100	"NE"	"LOMAS"	"Albuquerque"	"New Mexico"	"USA"
"TENNIS"	"LOS ALTOS TENNIS"	"10100 LOMAS BLVD NE"	"CITY"	10100	"NE"	"LOMAS"	"Albuquerque"	"New Mexico"	"USA"
"ADMIN"	"CITY SPORTS OFFFICE"	"10130 LOMAS BLVD NE"	"CITY"	10130	"NE"	"LOMAS"	"Albuquerque"	"New Mexico"	"USA"
"SKATE PARK"	"LOS ALTOS SKATE PARK"	"10130 LOMAS BLVD NE"	"CITY"	10130	"NE"	"LOMAS"	"Albuquerque"	"New Mexico"	"USA"
"LIBRARY"	"SOUTH BROADWAY LIBRARY"	"1025 BROADWAY BLVD SE"	"CITY"	1025	"SE"	"BROADWAY"	"Albuquerque"	"New Mexico"	"USA"
"POOL-YEAR ROUND"	"LOS ALTOS POOL"	"10300 LOMAS BLVD NE"	"CITY"	10300	"NE"	"LOMAS"	"Albuquerque"	"New Mexico"	"USA"
"FIRE"	"FIRE STATION 21"	"10400 CIBOLA LOOP NW"	"CITY"	10400	"NW"	"CIBOLA"	"Albuquerque"	"New Mexico"	"USA"
"SKATE PARK"	"NW QUADRANT MODULAR SKATE PARK"	"10401 COORS BLVD BYPASS NW"	"CITY"	10401	"NW"	"COORS BLVD BYPASS"	"Albuquerque"	"New Mexico"	"USA"
"TENNIS"	"ALAMOSA TENNIS"	"1100 BATAAN DR SW"	"CITY"	1100	"SW"	"BATAAN"	"Albuquerque"	"New Mexico"	"USA"
"BASKETBALL"	"HAYES BASKETBALL"	"1100 TEXAS ST NE"	"CITY"	1100	"NE"	"TEXAS"	"Albuquerque"	"New Mexico"	"USA"
"BASKETBALL"	"EISENHOWER BASKETBALL"	"11001 CAMERO NE"	"CITY"	11001	"NE"	"CAMERO"	"Albuquerque"	"New Mexico"	"USA"
"POOL-SUMMER"	"EISENHOWER POOL"	"11001 CAMERO NE"	"CITY"	11001	"NE"	"CAMERO"	"Albuquerque"	"New Mexico"	"USA"
"COMMUNITY CENTER"	"WHITTIER SHELTER CENTER"	"1110 QUINCY ST SE"	"CITY"	1110	"SE"	"QUINCY"	"Albuquerque"	"New Mexico"	"USA"
"FIRE"	"ANIMAL TRAINING CENTER"	"1136 GATEWOOD AV SW"	"COUNTY"	1136	"SW"	"GATEWOOD"	"Albuquerque"	"New Mexico"	"USA"
"BASKETBALL"	"WILSON BASKETBALL"	"1138 CARDENAS DR SE"	"CITY"	1138	"SE"	"CARDENAS"	"Albuquerque"	"New Mexico"	"USA"
